Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2086,Tina,18,Female,Oklahoma City,2024-01-22,226.59
2087,James,18,Male,Baltimore,2025-08-13,695.36
2088,Oliver,46,Male,Louisville,2024-08-21,727.13
2089,Bella,21,Female,San Jose,2023-10-20,494.23
2090,Isabella,53,Female,Philadelphia,2023-09-18,772.75
2091,Julia,52,Female,Jacksonville,2023-11-03,917.42
2092,Hannah,42,Female,Jacksonville,2024-11-15,573.72
2093,Liam,24,Male,Fort Worth,2025-03-16,181.8
2094,Olivia,41,Female,Tucson,2024-06-18,559.32
2095,Liam,40,Male,Denver,2023-09-30,728.89
2096,Benjamin,52,Male,Washington DC,2024-05-19,576.11
2097,Kevin,46,Male,Jacksonville,2025-08-12,360.19
2098,Diana,20,Female,Colorado Springs,2024-09-04,167.66
2099,Marcus,27,Male,Phoenix,2025-07-24,170.06
2100,James,26,Male,Phoenix,2025-05-05,340.41
2101,Fiona,45,Female,San Francisco,2023-08-23,617.02
2102,Hannah,29,Female,Oklahoma City,2025-01-22,527.59
2103,George,47,Male,Sacramento,2024-12-25,828.7
2104,Isaac,21,Male,New York,2024-09-10,404.09
2105,Rachel,41,Female,San Antonio,2024-02-26,230.39
2106,Charlotte,27,Female,Portland,2024-11-25,513.44
2107,Benjamin,18,Male,San Diego,2023-11-04,795.56
2108,Alexander,41,Male,Chicago,2024-06-27,246.32
2109,Isaac,41,Male,San Francisco,2024-07-11,190.98
2110,Frank,52,Male,Seattle,2025-07-12,536.01
2111,James,18,Male,Colorado Springs,2025-05-16,96.87
2112,Alexander,48,Male,New York,2024-02-23,382.44
2113,George,43,Male,Long Beach,2024-08-14,302.49
2114,William,42,Male,Philadelphia,2023-12-23,829.37
2115,Marcus,42,Male,Dallas,2025-06-12,356.96
2116,Isabella,28,Female,Mesa,2025-05-12,331.87
2117,Grace,33,Female,Austin,2024-03-20,65.0
2118,Thomas,42,Male,El Paso,2024-11-24,660.71
2119,Isabella,50,Female,San Jose,2024-11-02,951.28
2120,Patrick,59,Male,Houston,2023-12-04,679.23
2121,Maria,47,Female,Seattle,2025-02-22,1310.39
2122,Tina,29,Female,Long Beach,2024-09-12,555.01
2123,Henry,18,Male,Los Angeles,2025-03-06,269.03
2124,Christopher,41,Male,San Antonio,2024-09-05,679.51
2125,Maria,45,Female,Denver,2023-08-15,497.08
2126,George,27,Male,Fresno,2024-04-07,154.73
2127,Emma,52,Female,San Jose,2023-08-29,553.05
2128,Alexander,19,Male,Charlotte,2025-06-24,610.56
2129,Benjamin,51,Male,Charlotte,2025-05-18,567.39
2130,Fiona,22,Female,Portland,2025-04-13,489.32
2131,James,24,Male,Detroit,2024-03-26,759.7
2132,Victoria,40,Female,Denver,2023-09-26,1356.47
2133,Oliver,45,Male,Portland,2025-05-17,166.91
2134,Zoe,71,Female,San Diego,2025-07-07,574.43
2135,Julia,21,Female,Austin,2023-10-16,454.05
2136,Henry,44,Male,Charlotte,2024-08-04,307.36
2137,George,33,Male,Denver,2023-10-04,228.23
2138,Alice,33,Female,Phoenix,2025-02-21,132.55
2139,Sophia,42,Female,El Paso,2025-02-24,355.37
2140,Henry,37,Male,Nashville,2023-11-16,275.78
2141,Frank,38,Male,Chicago,2024-07-27,763.63
2142,Rachel,49,Female,San Jose,2024-09-19,420.44
2143,Liam,28,Male,Louisville,2024-02-24,354.6
2144,Luna,39,Female,El Paso,2025-05-13,478.73
2145,Rachel,32,Female,Jacksonville,2024-06-19,216.58
2146,Zoe,27,Female,Louisville,2024-01-16,228.03
2147,James,29,Male,Washington DC,2024-09-12,306.62
2148,Sophia,18,Female,Denver,2025-01-29,220.06
2149,Alice,20,Female,San Antonio,2024-01-09,151.37
2150,Robert,30,Male,Tucson,2024-03-29,256.48
2151,Wendy,29,Female,Nashville,2025-08-11,379.34
2152,Quinn,30,Male,Phoenix,2024-12-02,481.24
2153,Alexander,34,Male,San Jose,2024-06-30,199.03
2154,Victoria,51,Female,San Jose,2024-08-27,585.98
2155,Victor,37,Male,San Jose,2023-11-11,2296.67
2156,Charlotte,18,Female,Baltimore,2024-01-26,653.43
2157,Isabella,34,Female,Phoenix,2024-04-18,208.2
2158,Henry,20,Male,Mesa,2024-10-18,50.0
2159,Fiona,56,Female,Seattle,2024-01-30,954.01
2160,James,30,Male,Philadelphia,2024-01-22,755.51
2161,Victor,31,Male,Dallas,2023-10-05,815.61
2162,Liam,55,Male,Portland,2024-11-18,446.06
2163,Alice,49,Female,Boston,2024-01-29,484.49
2164,Julia,31,Female,Louisville,2025-06-06,717.56
2165,Isabella,53,Female,Las Vegas,2025-05-04,345.94
2166,Rachel,38,Female,El Paso,2023-10-05,148.98
2167,Isaac,61,Male,San Francisco,2024-02-04,492.48
2168,Charlotte,18,Female,Las Vegas,2024-12-16,601.56
2169,Nina,37,Female,Tucson,2024-01-18,169.04
2170,Maria,24,Female,Long Beach,2023-11-19,223.78
2171,Julia,28,Female,Long Beach,2025-06-28,600.22
2172,Maria,35,Female,Charlotte,2024-10-05,561.22
2173,Charlotte,49,Female,Philadelphia,2024-07-25,308.93
2174,Penny,36,Female,Las Vegas,2025-03-10,182.21
2175,Luna,28,Female,Mesa,2025-03-27,497.82
2176,Oliver,26,Male,Philadelphia,2024-01-01,233.08
2177,Patrick,24,Male,Nashville,2023-10-24,191.11
2178,Alexander,38,Male,Columbus,2024-06-25,573.91
2179,Benjamin,27,Male,Nashville,2024-06-19,547.69
2180,Nina,26,Female,Albuquerque,2024-07-21,310.0
2181,Isaac,23,Male,San Diego,2025-01-28,193.19
2182,David,34,Male,Detroit,2024-12-19,721.83
2183,Bella,27,Female,Dallas,2025-08-03,454.75
2184,Samuel,58,Male,Milwaukee,2023-10-25,366.16
2185,James,51,Male,Kansas City,2024-06-04,296.78
2186,Emma,21,Female,San Francisco,2024-04-19,648.06
2187,Nathan,37,Male,Charlotte,2025-05-05,215.86
2188,David,35,Male,Dallas,2024-02-12,1347.3
2189,Henry,34,Male,San Jose,2024-01-01,317.22
2190,Charlotte,37,Female,Los Angeles,2024-07-07,195.19
2191,Fiona,30,Female,Nashville,2024-06-18,143.45
2192,David,52,Male,San Antonio,2024-03-05,306.0
2193,Wendy,26,Female,Atlanta,2024-02-13,697.19
2194,Ethan,43,Male,Albuquerque,2025-06-19,422.59
2195,Rachel,36,Female,Austin,2024-07-03,1011.25
2196,Benjamin,26,Male,San Jose,2025-05-05,109.98
2197,Bella,36,Female,San Jose,2024-09-20,497.2
2198,Frank,43,Male,San Francisco,2023-09-20,122.41
2199,Ethan,45,Male,New York,2025-08-14,263.49
2200,Olivia,38,Female,Las Vegas,2025-04-17,561.98
2201,James,45,Male,Jacksonville,2025-07-23,144.12
2202,Isabella,19,Female,Dallas,2025-06-22,58.43
2203,Luna,30,Female,Washington DC,2025-04-26,238.99
2204,Isabella,21,Female,Las Vegas,2023-12-14,503.76
2205,William,21,Male,Baltimore,2024-08-04,345.17
2206,Victoria,40,Female,New York,2024-01-18,406.99
2207,Samuel,18,Male,San Diego,2024-06-03,638.11
2208,James,44,Male,Houston,2023-09-26,219.87
2209,Victoria,55,Female,Chicago,2024-05-18,411.55
2210,Rachel,42,Female,Jacksonville,2025-08-04,183.06
2211,Katherine,27,Female,Austin,2024-02-24,197.81
2212,Alexander,18,Male,Oklahoma City,2025-03-10,411.03
2213,Fiona,28,Female,Milwaukee,2024-07-12,373.12
2214,Nina,18,Female,Indianapolis,2024-06-19,96.08
2215,Olivia,58,Female,Fresno,2025-07-14,476.06
2216,Thomas,22,Male,Charlotte,2025-08-11,716.88
2217,Fiona,24,Female,Austin,2024-09-24,1212.24
2218,Robert,44,Male,Philadelphia,2025-01-21,78.73
2219,Luna,23,Female,Portland,2023-12-06,570.88
2220,Isaac,41,Male,Columbus,2024-03-18,165.25
2221,Diana,63,Female,Virginia Beach,2025-07-23,502.17
2222,David,26,Male,Charlotte,2024-10-11,390.27
2223,Diana,32,Female,Jacksonville,2024-09-14,604.24
2224,Nina,34,Female,Colorado Springs,2025-02-11,526.92
2225,Ethan,30,Male,Milwaukee,2023-09-25,1475.31
2226,Isabella,18,Female,Boston,2024-10-15,539.35
2227,Victoria,47,Female,Oklahoma City,2024-08-16,312.39
2228,Charlotte,18,Female,Austin,2025-04-29,236.97
2229,David,27,Male,Nashville,2023-12-08,862.44
2230,Victoria,34,Female,Louisville,2025-07-17,167.01
2231,Marcus,29,Male,Seattle,2023-10-12,657.66
2232,George,40,Male,San Antonio,2023-12-28,667.22
2233,Ethan,18,Male,Nashville,2024-10-22,245.34
2234,Rachel,39,Female,El Paso,2024-12-20,1386.88
2235,Benjamin,18,Male,San Francisco,2024-02-02,214.72
2236,Samuel,36,Male,Austin,2023-11-10,486.66
2237,Maria,30,Female,San Antonio,2025-05-26,394.67
2238,Ethan,38,Male,Columbus,2024-02-10,206.31
2239,Rachel,27,Female,New York,2024-10-22,439.65
2240,Thomas,18,Male,Fort Worth,2024-11-09,726.48
2241,Nina,40,Female,Fort Worth,2024-06-16,997.47
2242,Tina,29,Female,Chicago,2024-10-14,301.43
2243,Patrick,55,Male,Seattle,2024-08-31,231.15
2244,Frank,33,Male,Mesa,2025-06-28,197.12
2245,Olivia,38,Female,Chicago,2024-01-11,354.93
2246,Olivia,20,Female,Albuquerque,2025-01-19,261.74
2247,Christopher,18,Male,Houston,2024-02-05,476.42
2248,Victor,39,Male,Philadelphia,2024-05-30,361.37
2249,Thomas,37,Male,New York,2024-12-18,654.44
2250,Alice,52,Female,Denver,2024-03-21,319.25
2251,Diana,26,Female,Fresno,2024-04-02,1269.11
2252,Marcus,31,Male,Boston,2025-02-14,450.91
2253,Diana,49,Female,Detroit,2023-10-07,591.0
2254,Isaac,43,Male,San Antonio,2024-07-15,380.69
2255,William,34,Male,Las Vegas,2025-08-13,788.61
2256,Katherine,43,Female,San Antonio,2025-08-12,60.86
2257,Katherine,33,Female,San Jose,2023-10-07,625.92
2258,Benjamin,50,Male,Atlanta,2024-01-17,173.43
2259,Charlotte,33,Female,Albuquerque,2024-02-24,662.14
2260,Penny,35,Female,Chicago,2025-06-27,273.03
2261,Samuel,26,Male,Austin,2025-05-19,436.61
2262,James,40,Male,Milwaukee,2025-05-18,132.83
2263,Frank,40,Male,Philadelphia,2024-05-11,62.43
2264,Oliver,31,Male,Columbus,2023-12-08,334.7
2265,Zoe,39,Female,San Jose,2025-04-15,465.57
2266,Kevin,24,Male,Fresno,2025-01-10,290.31
2267,Luna,47,Female,Colorado Springs,2024-11-04,1295.36
2268,Victoria,30,Female,Sacramento,2025-08-05,219.86
2269,William,33,Male,Baltimore,2024-12-05,653.37
2270,Isaac,36,Male,El Paso,2023-08-20,312.5
2271,Samuel,35,Male,Nashville,2025-04-03,266.62
2272,Sophia,26,Female,Louisville,2024-03-20,803.13
2273,Christopher,18,Male,Portland,2024-12-11,877.44
2274,Patrick,18,Male,Columbus,2025-07-01,386.32
2275,Sophia,40,Female,Colorado Springs,2023-11-21,389.4
2276,Ethan,27,Male,San Jose,2023-11-07,451.53
2277,Olivia,40,Female,Tucson,2023-11-01,685.83
2278,George,42,Male,New York,2024-09-22,274.66
2279,James,33,Male,Washington DC,2024-03-01,197.27
2280,Nina,43,Female,Philadelphia,2024-10-30,220.63
2281,Julia,18,Female,San Antonio,2025-01-20,238.52
2282,Hannah,43,Female,Boston,2024-01-10,50.0
2283,Kevin,50,Male,Denver,2024-11-20,572.78
2284,Kevin,32,Male,Phoenix,2024-02-23,377.35
2285,Robert,21,Male,Mesa,2024-08-06,59.15
2286,Bella,53,Female,Detroit,2025-06-06,199.89
2287,Frank,19,Male,Phoenix,2025-04-24,542.1
2288,Liam,31,Male,Milwaukee,2023-10-21,695.47
2289,Quinn,18,Male,Albuquerque,2024-06-19,234.35
2290,Quinn,41,Male,Baltimore,2024-03-04,916.49
2291,Victoria,21,Female,Dallas,2023-08-17,316.65
2292,Henry,51,Male,Mesa,2025-02-28,153.35
2293,Julia,45,Female,Chicago,2024-11-22,1386.4
2294,Bella,31,Female,Denver,2024-02-22,63.13
2295,Diana,18,Female,Las Vegas,2025-02-06,50.0
2296,Sophia,48,Female,Dallas,2024-09-21,536.31
2297,Grace,37,Female,Nashville,2024-06-22,589.74
2298,Katherine,52,Female,Virginia Beach,2023-08-22,690.54
2299,Victor,23,Male,Nashville,2023-10-09,233.08
2300,Frank,42,Male,Las Vegas,2025-05-21,281.71
2301,Katherine,45,Female,Baltimore,2025-06-05,552.47
2302,Quinn,45,Male,Chicago,2024-09-16,1323.98
2303,Sophia,43,Female,Houston,2025-04-16,1243.31
2304,Patrick,46,Male,Kansas City,2024-10-13,230.2
2305,Alexander,22,Male,San Jose,2023-12-01,687.35
2306,George,25,Male,Denver,2023-11-16,692.05
2307,Charlotte,38,Female,Austin,2024-03-27,186.47
2308,Olivia,31,Female,Oklahoma City,2025-06-02,247.86
2309,Ethan,18,Male,Charlotte,2025-03-18,272.13
2310,Charlotte,31,Female,Milwaukee,2025-05-05,134.01
2311,Wendy,57,Female,Philadelphia,2025-06-02,278.32
2312,Alice,24,Female,Milwaukee,2024-01-15,464.47
2313,Hannah,46,Female,Long Beach,2024-02-13,252.69
2314,Hannah,35,Female,San Antonio,2023-10-29,85.7
2315,Frank,47,Male,Jacksonville,2025-03-07,160.14
2316,George,31,Male,Oklahoma City,2025-05-22,416.98
2317,Fiona,18,Female,Fort Worth,2024-06-07,388.65
2318,Diana,36,Female,El Paso,2024-11-10,528.27
2319,Ethan,36,Male,Boston,2023-12-05,738.23
2320,William,21,Male,Colorado Springs,2025-06-24,257.28
2321,Julia,35,Female,Columbus,2025-05-08,808.52
2322,Isabella,20,Female,San Diego,2025-07-28,139.93
2323,Robert,30,Male,Milwaukee,2025-03-29,185.09
2324,Christopher,38,Male,Long Beach,2025-05-20,694.93
2325,James,43,Male,Albuquerque,2023-09-02,150.25
2326,James,25,Male,Columbus,2025-02-03,766.63
2327,Victor,36,Male,Mesa,2024-04-13,681.21
2328,Christopher,68,Male,Colorado Springs,2025-06-25,50.0
2329,Charlotte,45,Female,Houston,2025-03-23,108.48
2330,Bella,27,Female,Louisville,2025-05-07,199.73
2331,Isabella,31,Female,Columbus,2025-03-29,351.35
2332,David,38,Male,Columbus,2024-02-26,1073.23
2333,Benjamin,39,Male,Louisville,2025-03-12,192.28
2334,Robert,18,Male,Indianapolis,2023-11-02,134.68
2335,Tina,48,Female,Jacksonville,2025-05-13,183.11
2336,Frank,38,Male,San Jose,2025-05-03,802.14
2337,Ethan,47,Male,Seattle,2024-01-24,500.91
2338,Diana,48,Female,Philadelphia,2025-04-02,140.86
2339,Thomas,40,Male,Baltimore,2024-07-16,300.6
2340,Emma,18,Female,Sacramento,2024-03-25,274.16
2341,Nathan,39,Male,Indianapolis,2025-03-18,1785.41
2342,Liam,27,Male,Houston,2024-01-28,480.92
2343,Frank,24,Male,Louisville,2023-09-01,680.53
2344,William,19,Male,Washington DC,2024-01-03,383.47
2345,Kevin,27,Male,Fort Worth,2024-04-10,193.92
2346,Alice,22,Female,Las Vegas,2025-05-07,903.59
2347,Isabella,41,Female,Albuquerque,2025-07-21,243.27
2348,Maria,60,Female,Austin,2024-03-06,789.63
2349,Fiona,56,Female,Detroit,2024-11-25,350.37
2350,Olivia,33,Female,Portland,2024-06-02,166.24
2351,Alexander,49,Male,Kansas City,2025-08-01,1022.99
2352,Rachel,28,Female,Fort Worth,2024-09-09,620.49
2353,Ethan,33,Male,Atlanta,2025-07-01,413.75
2354,Sophia,23,Female,San Jose,2023-11-07,249.02
2355,Victor,33,Male,Boston,2025-07-24,107.74
2356,Alexander,35,Male,San Jose,2023-12-23,157.61
2357,Hannah,18,Female,San Jose,2025-07-18,250.95
2358,Julia,46,Female,Boston,2024-02-25,267.41
2359,Henry,58,Male,Las Vegas,2023-11-02,644.79
2360,Quinn,41,Male,Sacramento,2024-06-27,420.33
2361,Alexander,20,Male,Baltimore,2025-01-28,50.82
2362,Isaac,52,Male,Baltimore,2024-03-31,406.25
2363,Tina,23,Female,Atlanta,2024-10-31,170.25
2364,George,43,Male,Chicago,2024-08-22,1682.76
2365,Nathan,49,Male,Fort Worth,2024-05-22,69.65
2366,Emma,46,Female,Long Beach,2024-10-09,219.57
2367,Kevin,35,Male,Colorado Springs,2024-02-17,378.55
2368,Charlotte,44,Female,Columbus,2025-01-14,396.83
2369,Alice,34,Female,Columbus,2023-08-16,246.59
2370,Marcus,37,Male,Mesa,2025-06-21,529.55
2371,Alexander,52,Male,Nashville,2024-09-11,458.7
2372,Bella,25,Female,Los Angeles,2025-01-21,499.83
2373,Thomas,41,Male,Washington DC,2025-02-07,607.08
2374,Katherine,25,Female,San Diego,2024-12-17,488.65
2375,Julia,18,Female,Milwaukee,2024-05-07,416.4
2376,Emma,40,Female,Las Vegas,2023-10-05,276.63
2377,Alice,30,Female,Detroit,2024-12-12,114.34
2378,Maria,53,Female,Louisville,2024-04-12,920.25
2379,Luna,37,Female,El Paso,2024-03-31,352.27
2380,Henry,18,Male,Jacksonville,2025-04-25,423.58
2381,Hannah,40,Female,Louisville,2025-01-22,877.37
2382,Bella,28,Female,Jacksonville,2024-03-21,568.27
2383,Nina,48,Female,Colorado Springs,2024-03-28,1505.03
2384,Kevin,18,Male,Long Beach,2024-06-08,515.53
2385,Fiona,19,Female,Portland,2024-06-04,449.8
2386,Samuel,51,Male,Louisville,2024-03-18,757.57
2387,Tina,43,Female,Denver,2023-11-16,174.38
2388,Sophia,20,Female,San Antonio,2024-06-17,307.56
2389,Frank,29,Male,San Antonio,2025-07-02,104.15
2390,Frank,38,Male,Los Angeles,2024-12-22,50.0
2391,Sophia,48,Female,Las Vegas,2025-06-04,299.88
2392,George,26,Male,Tucson,2024-11-06,367.8
2393,Sophia,55,Female,Long Beach,2024-03-21,1730.73
2394,George,41,Male,Baltimore,2024-09-18,454.64
2395,Katherine,37,Female,Atlanta,2023-08-15,136.77
2396,Christopher,29,Male,Denver,2024-03-11,740.81
2397,Emma,33,Female,Columbus,2024-06-24,389.46
2398,Oliver,18,Male,Milwaukee,2024-10-11,370.84
2399,Nina,46,Female,Portland,2024-12-05,50.0
2400,Henry,21,Male,Fort Worth,2024-07-19,1122.22
2401,Isabella,30,Female,San Diego,2024-07-03,381.71
2402,Alice,36,Female,Milwaukee,2024-01-18,658.17
2403,Emma,23,Female,Oklahoma City,2024-07-25,74.99
2404,Alexander,42,Male,Nashville,2025-06-03,789.98
2405,Oliver,44,Male,Fresno,2025-03-18,393.47
2406,Samuel,24,Male,Seattle,2023-12-17,118.06
2407,Wendy,35,Female,Indianapolis,2023-10-15,486.03
2408,Thomas,18,Male,Las Vegas,2024-08-25,497.27
2409,Zoe,28,Female,San Francisco,2024-11-19,233.22
2410,Alexander,54,Male,Las Vegas,2024-04-16,706.95
2411,Christopher,40,Male,New York,2025-04-04,441.45
2412,Benjamin,30,Male,San Jose,2025-02-14,856.29
2413,Bella,18,Female,Sacramento,2024-12-18,370.2
2414,Rachel,35,Female,Boston,2024-01-26,190.02
2415,William,54,Male,Austin,2024-01-07,1324.42
2416,Olivia,20,Female,Louisville,2023-09-01,59.61
2417,Patrick,22,Male,Kansas City,2024-02-09,131.56
2418,Diana,38,Female,Fort Worth,2024-07-27,1570.76
2419,Sophia,54,Female,Oklahoma City,2025-04-27,982.67
2420,David,27,Male,Mesa,2023-10-07,799.9
2421,Fiona,22,Female,Dallas,2024-06-12,595.94
2422,Tina,44,Female,Portland,2024-11-17,156.4
2423,Liam,34,Male,Oklahoma City,2024-01-04,1417.41
2424,Victor,18,Male,Sacramento,2025-01-05,50.0
2425,Kevin,34,Male,Louisville,2024-08-10,431.56
2426,Oliver,30,Male,San Antonio,2024-02-09,389.29
2427,Isaac,19,Male,Fresno,2024-12-06,606.79
2428,Henry,60,Male,Mesa,2023-08-19,1146.97
2429,Diana,35,Female,Indianapolis,2025-02-13,731.43
2430,Nina,37,Female,Austin,2025-02-27,304.34
2431,Victor,50,Male,Columbus,2023-10-31,592.39
2432,Frank,44,Male,Philadelphia,2024-06-20,222.68
2433,Benjamin,27,Male,Louisville,2023-12-21,615.17
2434,Alexander,18,Male,Atlanta,2025-07-15,997.0
2435,James,20,Male,Los Angeles,2024-08-27,82.3
2436,Sophia,36,Female,Long Beach,2023-09-20,1095.2
2437,Frank,30,Male,Mesa,2024-02-13,1034.12
2438,Charlotte,49,Female,Los Angeles,2025-04-26,1698.24
2439,Isaac,18,Male,Milwaukee,2024-07-13,499.24
2440,Tina,37,Female,Detroit,2025-03-22,160.6
2441,Liam,47,Male,San Francisco,2024-12-14,350.35
2442,Victoria,40,Female,Charlotte,2025-08-06,1317.24
2443,Thomas,35,Male,Fort Worth,2024-10-23,702.05
2444,Maria,44,Female,San Francisco,2025-07-09,275.42
2445,Charlotte,32,Female,Indianapolis,2025-05-27,473.47
2446,Wendy,44,Female,Houston,2024-11-04,893.65
2447,Robert,23,Male,Philadelphia,2025-01-21,272.06
2448,James,41,Male,Los Angeles,2024-08-17,1248.87
2449,Tina,18,Female,Atlanta,2025-04-13,322.98
2450,George,50,Male,San Diego,2024-09-18,800.15
2451,Hannah,18,Female,Colorado Springs,2025-05-31,178.3
2452,Henry,36,Male,San Antonio,2025-02-08,409.68
2453,James,40,Male,Denver,2024-07-26,533.99
2454,Quinn,18,Male,Jacksonville,2024-02-20,128.58
2455,Frank,23,Male,Phoenix,2024-02-11,384.78
2456,Julia,46,Female,Nashville,2024-11-23,267.45
2457,Nathan,44,Male,Oklahoma City,2025-02-24,289.64
2458,George,28,Male,Tucson,2024-08-30,523.91
2459,Benjamin,36,Male,Las Vegas,2024-11-15,525.81
2460,Ethan,61,Male,Tucson,2024-03-02,556.39
2461,Tina,30,Female,Phoenix,2023-10-10,238.7
2462,Nathan,33,Male,Las Vegas,2024-03-10,557.75
2463,Charlotte,43,Female,Boston,2024-02-29,730.17
2464,Tina,44,Female,Baltimore,2024-04-04,334.52
2465,Kevin,47,Male,Jacksonville,2024-09-12,838.2
2466,Thomas,41,Male,New York,2023-11-24,360.8
2467,Liam,35,Male,Mesa,2024-01-31,398.17
2468,Tina,30,Female,Colorado Springs,2025-01-03,761.26
2469,Christopher,37,Male,San Diego,2025-01-12,903.11
2470,William,36,Male,Detroit,2023-09-30,1495.88
2471,Isabella,50,Female,Virginia Beach,2024-06-07,431.8
2472,Rachel,27,Female,Long Beach,2024-09-14,477.19
2473,Alexander,49,Male,Austin,2024-06-13,993.44
2474,Luna,39,Female,Indianapolis,2024-01-13,726.01
2475,Henry,46,Male,Fort Worth,2024-06-17,392.35
2476,Rachel,35,Female,Los Angeles,2025-06-06,417.39
2477,Maria,24,Female,Los Angeles,2024-10-14,173.96
2478,Luna,46,Female,Fresno,2025-01-04,229.76
